windex10,gender,rate_pct,n
1,Ayol,67.77350555596614,180
1,Erkak,73.00528661903756,225
2,Ayol,69.25167758784141,199
2,Erkak,79.42778870840753,176
3,Ayol,70.12922937662306,171
3,Erkak,75.32896194143937,184
4,Ayol,71.48614948220664,204
4,Erkak,80.47546841780199,180
5,Ayol,67.75279241798705,144
5,Erkak,81.28279150766285,214
6,Ayol,69.84998350870393,168
6,Erkak,79.32397874691713,211
7,Ayol,63.48622301138308,167
7,Erkak,69.54006407156969,198
8,Ayol,70.95993321378394,178
8,Erkak,68.78954622891908,206
9,Ayol,65.12220280823955,231
9,Erkak,74.21500714784545,278
10,Ayol,71.00140570115148,224
10,Erkak,73.39463370605108,222
