windex10,gender,rate_pct,n
1,Ayol,94.10919489289765,178
1,Erkak,95.499324342081,224
2,Ayol,98.35696468337028,195
2,Erkak,96.28379315831081,172
3,Ayol,94.81384680026108,168
3,Erkak,89.9141003631209,181
4,Ayol,98.20041305404706,201
4,Erkak,96.91019216721331,179
5,Ayol,97.48039003786434,142
5,Erkak,97.94281781278526,209
6,Ayol,95.60977397214113,166
6,Erkak,92.55548000723607,203
7,Ayol,95.24889361258934,166
7,Erkak,91.88384171870648,192
8,Ayol,93.8348607249165,177
8,Erkak,93.91699344661507,199
9,Ayol,92.54775182462318,230
9,Erkak,94.83440121777528,266
10,Ayol,92.54867460433215,222
10,Erkak,93.39800623143869,220
