windex10,area,rate_pct,n
1,Shahar,98.37300733077541,99
1,Qishloq,93.82169383997376,303
2,Shahar,99.18675984577288,100
2,Qishloq,96.72798737916088,267
3,Shahar,88.16379584317396,109
3,Qishloq,94.77151229308708,240
4,Shahar,98.32472000883125,123
4,Qishloq,97.30183010541722,257
5,Shahar,99.72911654410997,99
5,Qishloq,96.8130049051978,252
6,Shahar,94.13692932764103,138
6,Qishloq,93.87831334975174,231
7,Shahar,91.60154968018622,160
7,Qishloq,95.111443121011,198
8,Shahar,95.20802889531707,250
8,Qishloq,91.53504112427481,126
9,Shahar,94.89102203533811,445
9,Qishloq,87.43662073266137,51
10,Shahar,92.92488760635563,441
10,Qishloq,100,1
