windex10,area,rate_pct,n
1,Shahar,98.11644484844497,100
1,Qishloq,99.45917293743346,307
2,Shahar,96.12629886377184,100
2,Qishloq,94.79573004468432,278
3,Shahar,94.47034865899387,110
3,Qishloq,96.33030283563512,249
4,Shahar,94.68545614875757,124
4,Qishloq,98.7074902118883,264
5,Shahar,98.13324089812797,101
5,Qishloq,91.04534062499282,260
6,Shahar,95.11392094756516,143
6,Qishloq,92.55417172735349,238
7,Shahar,97.19424586700424,162
7,Qishloq,96.32558900561226,206
8,Shahar,95.38261966161535,253
8,Qishloq,93.91265411922606,134
9,Shahar,96.38949580463165,459
9,Qishloq,100,53
10,Shahar,94.25326303966621,450
10,Qishloq,100,1
