ESCS_w_decile,Percentage,rural,Subject,Decile_num
D1,10.05,Qishloq,Matematika,1
D1,11.34,Shahar,Matematika,1
D2,19.67,Qishloq,Matematika,2
D2,17.63,Shahar,Matematika,2
D3,15.28,Qishloq,Matematika,3
D3,24.96,Shahar,Matematika,3
D4,13.9,Qishloq,Matematika,4
D4,16.9,Shahar,Matematika,4
D5,15.33,Qishloq,Matematika,5
D5,21.06,Shahar,Matematika,5
D6,16.77,Qishloq,Matematika,6
D6,26.32,Shahar,Matematika,6
D7,16.63,Qishloq,Matematika,7
D7,24.66,Shahar,Matematika,7
D8,17.63,Qishloq,Matematika,8
D8,25.22,Shahar,Matematika,8
D9,24.16,Qishloq,Matematika,9
D9,27.76,Shahar,Matematika,9
D10,27.85,Qishloq,Matematika,10
D10,36.15,Shahar,Matematika,10
NA,14.52,Qishloq,Matematika,NA
NA,5.55,Shahar,Matematika,NA
D1,5.89,Qishloq,O'qish,1
D1,9.96,Shahar,O'qish,1
D2,12,Qishloq,O'qish,2
D2,16.26,Shahar,O'qish,2
D3,9.45,Qishloq,O'qish,3
D3,19.81,Shahar,O'qish,3
D4,9.86,Qishloq,O'qish,4
D4,13.79,Shahar,O'qish,4
D5,10.86,Qishloq,O'qish,5
D5,18.51,Shahar,O'qish,5
D6,13.51,Qishloq,O'qish,6
D6,20.87,Shahar,O'qish,6
D7,10.11,Qishloq,O'qish,7
D7,18.83,Shahar,O'qish,7
D8,11.53,Qishloq,O'qish,8
D8,21.38,Shahar,O'qish,8
D9,15.45,Qishloq,O'qish,9
D9,24.78,Shahar,O'qish,9
D10,17.74,Qishloq,O'qish,10
D10,28.39,Shahar,O'qish,10
NA,3.83,Qishloq,O'qish,NA
NA,2.57,Shahar,O'qish,NA
D1,9.78,Qishloq,Tabiiy fanlar,1
D1,10.12,Shahar,Tabiiy fanlar,1
D2,19.43,Qishloq,Tabiiy fanlar,2
D2,20.1,Shahar,Tabiiy fanlar,2
D3,16.22,Qishloq,Tabiiy fanlar,3
D3,24.87,Shahar,Tabiiy fanlar,3
D4,13.49,Qishloq,Tabiiy fanlar,4
D4,16.96,Shahar,Tabiiy fanlar,4
D5,14.65,Qishloq,Tabiiy fanlar,5
D5,21.41,Shahar,Tabiiy fanlar,5
D6,16.77,Qishloq,Tabiiy fanlar,6
D6,26.93,Shahar,Tabiiy fanlar,6
D7,15.34,Qishloq,Tabiiy fanlar,7
D7,23.65,Shahar,Tabiiy fanlar,7
D8,17.64,Qishloq,Tabiiy fanlar,8
D8,26.76,Shahar,Tabiiy fanlar,8
D9,22.6,Qishloq,Tabiiy fanlar,9
D9,26.55,Shahar,Tabiiy fanlar,9
D10,23.9,Qishloq,Tabiiy fanlar,10
D10,33.17,Shahar,Tabiiy fanlar,10
NA,15.65,Qishloq,Tabiiy fanlar,NA
NA,11.69,Shahar,Tabiiy fanlar,NA
